"Date","Cash"
"2010-05-01",68
"2010-05-02",74
"2010-05-03",11
"2010-05-04",2
"2010-05-05",102
"2010-05-06",92
"2010-05-07",69
"2010-05-08",68
"2010-05-09",74
"2010-05-10",11
"2010-05-11",2
"2010-05-12",102
"2010-05-13",92
"2010-05-14",69
"2010-05-15",68
"2010-05-16",74
"2010-05-17",11
"2010-05-18",2
"2010-05-19",102
"2010-05-20",92
"2010-05-21",69
"2010-05-22",68
"2010-05-23",74
"2010-05-24",11
"2010-05-25",2
"2010-05-26",102
"2010-05-27",92
"2010-05-28",69
"2010-05-29",68
"2010-05-30",74
