"Date","Cash"
"2010-05-01",87
"2010-05-02",101
"2010-05-03",73
"2010-05-04",6
"2010-05-05",100
"2010-05-06",79
"2010-05-07",85
"2010-05-08",87
"2010-05-09",101
"2010-05-10",73
"2010-05-11",6
"2010-05-12",100
"2010-05-13",79
"2010-05-14",85
"2010-05-15",87
"2010-05-16",101
"2010-05-17",73
"2010-05-18",6
"2010-05-19",100
"2010-05-20",79
"2010-05-21",85
"2010-05-22",87
"2010-05-23",101
"2010-05-24",73
"2010-05-25",6
"2010-05-26",100
"2010-05-27",79
"2010-05-28",85
"2010-05-29",87
"2010-05-30",101
