"Month","KWH Forecast"
"2014 Jan",9039.73298884565
"2014 Feb",8098.820733047853
"2014 Mar",7089.264662801344
"2014 Apr",6405.892134947211
"2014 May",6155.882203093068
"2014 Jun",7622.841102942066
"2014 Jul",8871.032811622259
"2014 Aug",9395.556068956532
"2014 Sep",8757.208172248442
"2014 Oct",6798.996690376325
"2014 Nov",6048.011195176736
"2014 Dec",7325.488921816186
